id,avg_upi_txn_amount,utility_bill_timeliness_pct,repayment_success_rate,peer_trust_avg_score,num_verified_endorsers
677,1275.84,96.22,97.22,3.52,15
678,423.79,70.2,93.53,1.06,16
679,431.76,92.45,57.64,1.4,7
680,125.86,64.8,50.07,4.41,19
681,1488.37,61.66,81.84,3.33,16
682,1679.45,84.24,42.41,1.17,1
683,780.44,84.09,83.62,4.67,8
684,757.33,85.77,45.61,4.83,9
685,1043.8,58.83,47.08,1.97,1
686,831.82,74.22,54.91,1.56,10
687,513.3,69.23,71.58,4.29,15
688,344.5,51.02,67.19,3.13,18
689,1543.09,58.42,39.51,2.93,16
690,1463.0,71.22,41.68,2.56,16
691,1048.96,51.71,67.22,3.72,13
692,755.97,70.75,39.9,3.24,4
693,1210.35,93.7,98.64,3.89,0
694,843.19,80.97,81.81,3.15,1
695,1021.38,67.87,44.94,1.88,6
696,506.38,56.99,97.62,2.01,11
697,789.22,48.94,52.29,3.78,16
698,1886.65,41.25,30.83,4.94,16
699,732.51,81.01,90.33,4.08,3
700,357.51,60.6,86.79,3.31,18
701,638.76,94.24,98.74,1.28,4
702,1431.29,79.69,33.37,2.33,0
703,328.9,42.85,72.7,1.17,1
704,1220.67,95.97,81.35,4.49,5
705,1524.66,45.06,31.32,2.16,20
706,53.64,60.96,46.7,3.5,17
707,1238.06,48.42,64.31,4.79,16
708,433.8,46.72,91.62,3.5,2
709,1824.39,83.89,46.5,3.32,11
710,1327.51,40.24,98.43,4.69,1
711,863.56,61.44,49.45,1.97,16
712,1245.75,77.2,43.6,3.19,12
713,1831.85,91.15,94.29,2.54,2
714,1005.26,63.0,59.74,2.56,10
715,1672.95,92.76,36.05,1.49,13
716,1450.65,89.58,54.66,2.45,14
717,275.98,65.04,64.54,4.21,15
718,997.05,83.8,84.78,4.95,7
719,1171.6,53.91,76.97,2.73,6
720,1829.23,95.22,62.11,4.97,9
721,1236.67,80.66,59.28,1.39,1
722,1973.9,92.45,97.66,4.65,8
723,763.2,50.81,54.51,1.72,8
724,1955.36,58.55,50.2,1.98,7
725,287.4,99.54,37.43,1.26,7
726,824.36,80.64,50.54,2.29,0
727,1905.13,53.54,72.26,1.2,9
728,622.17,53.78,55.57,2.29,19
729,1549.48,81.82,34.38,1.39,16
730,680.13,50.39,47.63,3.04,2
731,735.97,88.6,32.48,1.97,10
732,1613.03,79.53,51.12,4.66,1
733,1911.99,46.48,93.68,2.77,0
734,1577.44,92.3,95.39,3.69,7
735,1629.99,50.08,72.4,3.13,9
736,1883.07,60.01,86.24,4.3,19
737,884.3,54.26,37.66,4.46,15
738,739.6,50.82,32.44,3.36,9
739,413.01,54.67,88.85,2.92,15
740,509.01,60.53,52.1,4.74,7
741,548.28,79.69,72.85,4.21,4
742,1106.5,88.26,50.62,4.62,14
743,1134.71,54.17,75.69,4.19,15
744,902.04,62.7,72.95,2.64,20
745,1309.57,62.3,53.48,1.13,1
746,1864.59,99.12,72.55,2.99,0
747,154.42,88.4,37.73,1.93,5
748,1528.09,43.6,30.1,4.31,20
749,1633.8,82.15,42.85,2.94,19
750,1002.81,91.32,98.32,2.1,4
751,1373.15,76.44,42.55,4.18,9
752,1069.17,92.06,75.07,2.01,10
753,1059.77,76.48,98.74,3.43,15
754,1275.13,57.52,56.34,2.17,3
755,461.32,85.84,87.31,3.7,14
756,1448.28,58.98,80.73,3.08,5
757,1876.78,46.97,32.51,4.7,4
758,1177.05,80.4,89.83,3.73,8
759,1761.56,44.59,33.78,4.75,8
760,1249.41,63.22,35.57,2.68,1
761,1955.57,86.52,99.27,3.66,3
762,999.86,82.24,69.99,2.7,11
763,526.37,98.08,75.28,1.24,17
764,1855.98,97.81,47.37,4.24,19
765,480.82,40.48,88.19,4.86,11
766,1135.09,67.02,97.53,4.94,8
767,1714.61,43.49,91.09,1.38,9
768,1468.22,85.61,43.6,3.67,18
769,387.1,73.11,55.14,3.93,16
770,1016.26,51.91,68.13,1.57,1
771,1362.36,45.98,78.87,3.76,7
772,367.36,58.71,77.69,4.34,17
773,1693.9,94.23,69.58,1.53,16
774,330.11,93.6,93.97,2.76,8
775,1426.1,63.48,53.56,2.5,2
776,1065.44,66.87,67.14,1.58,4
777,364.51,85.27,86.48,2.99,18
778,1793.73,67.02,77.7,4.73,12
779,447.02,81.25,98.58,3.12,6
780,189.12,84.79,87.24,2.17,9
781,947.15,70.35,51.37,4.59,6
782,659.88,67.22,50.36,4.27,17
783,229.27,52.07,41.42,3.64,7
784,704.16,41.03,41.83,3.72,0
785,281.03,82.57,95.52,4.47,20
786,469.73,74.49,54.04,2.29,2
787,813.02,41.34,86.13,2.06,20
788,349.41,46.31,73.89,1.2,2
789,1390.96,84.61,62.52,3.52,3
790,347.85,81.75,97.62,4.12,8
791,188.81,41.87,46.68,4.87,13
792,1344.66,68.04,87.65,2.42,11
793,200.01,66.25,37.44,3.34,8
794,1474.17,81.85,39.09,3.17,20
795,751.43,57.04,77.53,1.96,1
796,1516.74,81.2,84.11,1.69,18
797,1443.83,47.14,33.24,1.14,10
798,960.04,56.33,42.59,4.94,15
799,1217.95,95.57,58.72,3.21,10
800,617.12,42.03,73.47,4.52,0
801,335.38,79.82,68.59,2.4,15
802,1890.29,89.21,66.03,1.76,3
803,164.8,56.47,82.48,4.27,5
804,754.36,63.54,49.44,1.22,6
805,1451.2,48.94,53.72,4.02,2
806,1187.06,56.68,79.46,4.46,20
807,505.1,88.15,61.84,3.59,5
808,919.22,46.61,93.98,2.08,9
809,860.86,87.16,82.28,4.81,16
810,1940.07,48.46,59.83,4.31,3
811,840.72,61.11,74.44,4.09,8
812,878.17,77.76,82.32,3.4,17
813,1055.43,44.42,45.89,2.22,12
814,336.26,43.35,73.43,3.49,8
815,651.79,65.0,80.37,1.99,0
816,156.53,52.42,87.71,4.06,15
817,551.78,46.16,89.26,1.25,3
818,778.26,60.97,34.64,2.68,0
819,1188.14,95.53,85.68,4.04,11
820,128.6,74.74,35.04,3.33,15
821,666.63,94.43,32.14,3.74,4
822,1473.39,82.53,76.8,4.06,20
823,1454.98,47.16,54.78,2.59,8
824,1370.17,51.71,93.38,4.06,2
825,703.18,65.24,70.54,1.69,5
826,1212.88,51.8,37.63,1.28,19
827,1943.31,49.56,46.63,3.59,20
828,1114.55,68.99,32.86,3.17,6
829,158.93,76.72,99.58,2.15,3
830,1259.54,69.57,38.55,3.58,0
831,1265.27,66.39,56.43,4.26,4
832,923.52,84.91,54.21,1.05,10
833,663.42,91.21,48.93,4.68,18
834,716.48,65.65,62.43,4.17,9
835,655.15,57.17,66.2,1.3,14
836,353.4,64.81,80.87,2.54,16
837,1029.33,63.76,74.48,4.77,11
838,1424.55,46.69,41.78,4.06,11
839,1140.19,65.83,59.75,2.7,16
840,1078.01,70.92,55.61,4.94,18
841,372.78,56.46,83.78,2.09,19
842,1307.05,94.19,76.68,1.16,5
843,154.88,87.9,64.17,3.07,5
844,511.99,68.81,90.36,3.76,12
845,1838.3,66.95,68.73,1.9,6
846,94.83,94.94,59.45,4.94,6
847,1983.94,67.63,93.15,4.24,18
848,785.29,62.35,73.09,4.41,17
849,1140.16,98.39,73.63,1.3,14
850,1961.23,80.47,67.15,1.87,16
851,1344.19,96.45,65.5,4.75,17
852,746.83,88.84,60.03,1.26,10
853,460.86,78.52,92.77,1.59,7
854,1292.53,64.4,39.27,3.37,2
855,1973.91,83.87,58.97,4.13,18
856,336.4,42.14,30.06,4.11,13
857,731.73,71.82,86.44,3.41,16
858,1385.73,86.96,97.17,3.54,3
859,111.03,93.58,66.34,4.58,15
860,1112.86,99.67,65.82,2.17,15
861,1908.44,69.81,75.71,1.72,17
862,134.27,64.8,42.18,1.02,13
863,1160.63,69.23,56.5,3.83,14
864,1230.58,41.58,42.99,3.86,11
865,1245.3,87.34,78.39,2.75,3
866,146.82,64.98,90.83,4.29,10
867,1613.47,79.66,40.97,4.25,4
868,1168.14,57.8,57.81,1.55,20
869,1621.04,71.87,70.13,2.94,17
870,1608.54,87.5,85.26,3.61,8
871,450.53,97.69,56.05,1.59,13
872,258.1,42.03,50.97,3.79,14
873,181.46,80.9,31.03,1.92,14
874,454.71,50.48,82.01,1.7,5
875,849.93,99.12,67.28,2.0,18
876,712.84,73.47,74.53,2.17,19
877,709.48,87.0,59.39,1.69,9
878,67.12,83.25,41.3,2.5,17
879,428.8,46.13,83.18,3.44,20
880,1895.19,55.2,80.36,1.42,19
881,879.47,86.07,72.72,3.8,5
882,1252.28,93.7,53.01,1.82,16
883,1385.43,77.56,43.24,2.19,12
884,1466.9,57.98,95.21,2.81,4
885,287.36,70.25,64.27,4.81,1
886,316.06,71.61,53.53,4.24,7
887,1604.47,47.87,78.24,1.37,0
888,748.41,79.93,67.9,3.89,18
889,1625.97,61.54,69.01,2.05,10
890,1041.67,81.15,62.44,2.68,15
891,1548.54,99.97,91.71,1.69,10
892,566.39,55.36,93.88,2.72,7
893,857.4,61.09,55.93,2.27,14
894,1926.18,44.35,58.24,4.05,15
895,518.64,55.3,82.64,3.77,15
896,608.9,87.63,77.51,3.54,19
897,73.58,58.46,37.23,3.09,15
898,1159.23,89.03,53.33,4.41,9
899,1682.74,72.16,79.61,2.17,8
900,1796.53,56.91,36.95,3.94,5
901,812.22,88.2,49.82,4.71,17
902,1946.8,41.71,45.69,1.16,12
903,1472.68,44.45,41.0,1.28,13
904,204.41,51.91,33.84,1.18,17
905,1832.3,88.15,97.89,3.94,13
906,290.34,73.43,82.98,4.05,19
907,1200.23,70.24,43.55,2.12,0
908,1307.19,49.03,96.85,3.77,10
909,947.21,77.48,61.83,1.75,2
910,886.78,63.61,97.8,1.47,19
911,1187.07,98.21,80.2,3.39,11
912,1559.64,78.13,91.6,2.33,20
913,1033.83,69.7,67.4,2.73,1
914,364.93,83.62,30.82,2.58,3
915,1056.15,72.42,46.72,1.55,6
916,314.3,90.87,43.85,1.32,17
917,1769.64,93.87,68.74,2.47,19
918,1537.02,66.9,88.7,3.92,11
919,1993.7,45.14,45.3,4.35,14
920,1626.74,63.74,36.4,3.89,15
921,84.04,71.99,64.16,1.51,18
922,59.89,82.78,56.48,1.18,0
923,1303.49,93.26,33.45,2.59,16
924,908.99,44.84,97.04,1.68,4
925,267.48,50.95,61.73,1.22,11
926,1091.91,74.03,80.51,3.03,10
927,1416.58,70.55,90.86,4.4,11
928,551.26,53.23,73.76,4.66,7
929,650.77,63.53,59.43,1.64,1
930,482.04,58.27,58.43,2.23,1
931,518.85,88.84,72.87,1.73,6
932,724.48,55.9,78.66,1.24,10
933,449.88,71.1,87.88,1.97,0
934,1962.48,59.65,95.6,4.01,0
935,740.0,62.35,89.18,4.14,17
936,518.97,99.85,63.09,4.8,4
937,365.12,44.23,46.34,1.07,1
938,1302.27,58.0,74.76,1.29,6
939,371.81,54.33,46.82,4.25,11
940,588.0,85.67,88.71,4.39,4
941,1009.01,57.08,96.1,3.14,5
942,1438.66,95.59,56.25,2.21,7
943,1776.77,56.24,56.98,4.6,8
944,1415.0,47.45,85.75,2.38,9
945,441.73,85.91,47.54,1.33,16
946,1504.12,81.77,45.02,3.23,0
947,1690.96,79.76,44.59,4.12,17
948,1952.38,71.63,47.95,4.33,5
949,1310.81,42.61,55.34,2.25,9
950,809.09,60.67,38.57,1.95,1
951,1834.04,61.04,54.42,3.08,7
952,1238.38,91.31,83.62,3.42,16
953,1041.44,92.71,93.51,4.17,6
954,765.53,87.24,45.53,3.84,8
955,897.23,67.29,70.73,3.98,18
956,480.86,57.97,77.95,4.29,0
957,556.21,94.61,99.27,1.53,2
958,275.95,52.08,56.45,4.88,7
959,116.29,84.98,95.8,4.97,11
960,719.84,67.43,93.02,2.4,17
961,1242.26,52.25,52.67,3.44,16
962,1251.22,49.59,41.4,2.61,1
963,708.34,81.69,66.28,4.07,15
964,1812.54,52.37,99.21,3.0,7
965,1045.42,46.04,55.28,4.05,8
966,1869.65,40.48,30.41,1.39,1
967,1114.02,61.9,33.44,2.08,7
968,1568.36,66.61,39.67,4.87,8
969,654.48,68.81,97.4,3.31,16
970,1229.38,73.59,45.97,2.18,20
971,1072.25,99.54,96.84,3.31,17
972,129.56,98.78,76.79,2.05,19
973,774.15,78.7,39.37,4.81,19
974,1927.22,46.12,70.23,1.16,3
975,310.68,45.33,96.16,4.41,0
976,1991.56,52.08,71.42,3.62,9
977,234.11,81.39,69.56,4.68,7
978,1183.0,51.39,58.35,1.94,5
979,758.51,90.52,69.16,3.52,10
980,780.48,85.33,97.05,2.57,4
981,1339.17,58.12,61.42,3.33,12
982,1296.6,49.5,79.26,1.63,3
983,493.27,80.2,76.82,3.79,18
984,262.44,66.04,93.51,1.36,3
985,1237.48,91.39,81.57,4.23,13
986,1508.23,99.78,60.7,3.21,5
987,815.32,58.61,94.88,1.4,6
988,1755.7,85.62,60.24,1.18,1
989,174.97,68.87,91.4,2.86,0
990,1899.13,79.9,99.83,2.21,8
991,518.85,60.95,92.24,1.72,1
992,1771.13,41.68,83.92,4.42,12
993,875.64,86.21,45.19,2.99,12
994,1547.85,52.31,88.79,2.23,0
995,326.71,45.9,70.2,1.23,1
996,991.53,97.73,77.02,4.84,14
997,1101.38,90.08,70.85,2.25,14
998,1338.83,78.18,63.54,2.58,9
999,1923.2,63.94,76.17,2.23,7
1000,862.57,57.72,96.9,2.86,7
